GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US77479,77479,ZCTA5 77479,26324,525,22846,491,20339,618,3478,371,133200,4922,142628,4277,151820,4091,66051,10699
8600000US77480,77480,ZCTA5 77480,2818,275,1904,154,1424,188,914,222,53767,7073,70000,19083,82946,17693,28229,6436
8600000US77481,77481,ZCTA5 77481,8,12,6,12,6,12,2,3,-,**,-,**,-,**,-,**
8600000US77482,77482,ZCTA5 77482,974,204,640,170,471,155,334,159,47917,32248,53720,9193,-,**,7188,5872
8600000US77483,77483,ZCTA5 77483,116,70,98,63,50,48,18,29,-,**,-,**,-,**,-,**
8600000US77484,77484,ZCTA5 77484,3611,334,2767,311,2075,260,844,226,64048,7812,70313,9159,82699,12448,26591,17112
8600000US77485,77485,ZCTA5 77485,1622,215,1161,199,885,164,461,125,55560,12868,72629,15113,88766,5833,27348,4070
8600000US77486,77486,ZCTA5 77486,2494,229,1886,215,1543,247,608,167,60161,6111,64839,5707,71760,9706,35956,8123
8600000US77488,77488,ZCTA5 77488,5365,332,3423,255,2297,258,1942,279,41079,2903,50232,4059,63519,5746,23167,7138
8600000US77489,77489,ZCTA5 77489,11943,441,9185,461,5407,426,2758,361,63473,3553,69029,3238,78769,5234,47076,2654
8600000US77493,77493,ZCTA5 77493,8412,370,6871,341,5476,390,1541,326,82630,7231,91688,6022,97018,7946,46100,6762
8600000US77494,77494,ZCTA5 77494,29979,636,25658,823,22827,853,4321,575,137231,5343,147280,6266,154069,8389,56838,10439
8600000US77498,77498,ZCTA5 77498,15335,483,12859,521,10803,570,2476,314,76590,6189,81422,4601,91888,6794,51114,7348
8600000US77502,77502,ZCTA5 77502,10809,350,8418,369,5823,336,2391,312,45813,2648,51102,3708,60899,4370,29720,4586
8600000US77503,77503,ZCTA5 77503,7959,257,5701,280,3536,302,2258,324,43277,5330,50791,4748,58735,2924,23494,1789
8600000US77504,77504,ZCTA5 77504,8834,365,5657,370,3562,336,3177,365,41487,2034,47982,4444,66500,10870,31357,6298
8600000US77505,77505,ZCTA5 77505,8403,330,6371,322,4692,301,2032,271,74894,3802,83336,3204,98773,6164,51909,3840
8600000US77506,77506,ZCTA5 77506,11055,311,8419,361,4968,370,2636,299,31840,1292,34653,2437,43477,5270,21053,4008
8600000US77507,77507,ZCTA5 77507,0,13,0,13,0,13,0,13,-,**,-,**,-,**,-,**
8600000US77510,77510,ZCTA5 77510,5430,418,4218,315,3212,306,1212,274,64489,8932,83229,9730,96859,10134,30060,5027
8600000US77511,77511,ZCTA5 77511,16037,568,12004,536,8810,461,4033,444,53672,3956,61598,2192,72083,3993,32166,4529
8600000US77514,77514,ZCTA5 77514,1675,164,1173,140,1035,144,502,117,37996,8932,48438,10554,50880,10636,17361,5336
8600000US77515,77515,ZCTA5 77515,10541,496,7616,375,5218,385,2925,405,59812,6520,69444,6004,80912,6174,32262,6640
8600000US77517,77517,ZCTA5 77517,1779,252,1521,246,1196,234,258,112,73117,16136,85809,21771,96329,16874,-,**
8600000US77518,77518,ZCTA5 77518,3313,285,2123,261,1397,257,1190,297,36806,4121,37008,7809,61976,26864,34698,6926
8600000US77519,77519,ZCTA5 77519,447,130,330,128,268,111,117,66,47038,39424,82543,33509,83103,25835,15565,2992
8600000US77520,77520,ZCTA5 77520,12507,416,8834,304,5644,303,3673,334,45936,3194,53837,2741,68018,4373,26005,4110
8600000US77521,77521,ZCTA5 77521,18984,600,13606,527,9395,504,5378,560,58261,5869,65756,3080,82273,5537,35509,9592
8600000US77523,77523,ZCTA5 77523,6625,368,5795,386,5110,377,830,249,96779,8972,104550,16928,114431,6573,45410,13363
8600000US77530,77530,ZCTA5 77530,9242,377,7053,401,4536,386,2189,324,51209,3132,51690,4650,61814,4863,43358,7755
8600000US77531,77531,ZCTA5 77531,6118,359,3769,217,2731,207,2349,384,51429,5255,64572,5874,74514,8949,29991,7661
8600000US77532,77532,ZCTA5 77532,9844,295,7917,344,6004,409,1927,274,62785,3274,66800,9044,74109,7385,35545,7010
8600000US77533,77533,ZCTA5 77533,336,79,230,66,213,63,106,50,46522,6493,48750,8150,48661,8251,-,**
