Median Rental Price,Zip Code,Year,Month
2335.0,78751,2017,5
2250.0,78751,2017,6
2100.0,78751,2017,7
1900.0,78751,2017,8
2097.5,78751,2017,9
2247.5,78751,2017,10
2342.5,78751,2017,11
2295.0,78751,2017,12
2247.5,78751,2018,1
2100.0,78751,2018,2
2295.0,78751,2018,3
2200.0,78751,2018,4
775.0,78753,2013,2
805.0,78753,2013,3
812.0,78753,2013,4
805.0,78753,2013,5
806.0,78753,2013,6
846.0,78753,2013,7
816.0,78753,2013,8
805.0,78753,2013,9
817.5,78753,2013,10
817.5,78753,2013,11
822.0,78753,2013,12
825.0,78753,2014,1
835.0,78753,2014,2
848.0,78753,2014,3
875.0,78753,2014,4
823.5,78753,2014,5
