Median Listing Price,Zip Code,Year,Month
278990.0,78727,2013,12
288245.0,78727,2014,1
289990.0,78727,2014,2
286990.0,78727,2014,3
289490.0,78727,2014,4
295000.0,78727,2014,5
302990.0,78727,2014,6
299990.0,78727,2014,7
304990.0,78727,2014,8
269900.0,78727,2014,9
241000.0,78727,2014,10
241000.0,78727,2014,11
245000.0,78727,2014,12
242535.0,78727,2015,1
241217.5,78727,2015,2
273395.0,78727,2015,3
268500.0,78727,2015,4
247250.0,78727,2015,5
259900.0,78727,2015,6
259900.0,78727,2015,7
269900.0,78727,2015,8
279922.0,78727,2015,9
311490.0,78727,2015,10
317490.0,78727,2015,11
317990.0,78727,2015,12
309450.0,78727,2016,1
272250.0,78727,2016,2
309997.0,78727,2016,3
309900.0,78727,2016,4
302450.0,78727,2016,5
324945.0,78727,2016,6
327000.0,78727,2016,7
320000.0,78727,2016,8
322482.0,78727,2016,9
319900.0,78727,2016,10
299970.0,78727,2016,11
299950.0,78727,2016,12
298282.5,78727,2017,1
306000.0,78727,2017,2
316495.0,78727,2017,3
315000.0,78727,2017,4
326499.5,78727,2017,5
326499.5,78727,2017,6
312450.0,78727,2017,7
317250.0,78727,2017,8
320000.0,78727,2017,9
328999.5,78727,2017,10
329000.0,78727,2017,11
329000.0,78727,2017,12
325000.0,78727,2018,1
320000.0,78727,2018,2
327970.0,78727,2018,3
339995.0,78727,2018,4
180500.0,78728,2010,1
175000.0,78728,2010,2
179900.0,78728,2010,3
180000.0,78728,2010,4
184900.0,78728,2010,5
181000.0,78728,2010,6
179995.0,78728,2010,7
180497.5,78728,2010,8
179450.0,78728,2010,9
174900.0,78728,2010,10
175000.0,78728,2010,11
175000.0,78728,2010,12
178350.0,78728,2011,1
174950.0,78728,2011,2
172000.0,78728,2011,3
169900.0,78728,2011,4
170950.0,78728,2011,5
169949.5,78728,2011,6
169949.5,78728,2011,7
169900.0,78728,2011,8
168200.0,78728,2011,9
168000.0,78728,2011,10
165000.0,78728,2011,11
169900.0,78728,2011,12
165000.0,78728,2012,1
165450.0,78728,2012,2
167500.0,78728,2012,3
169700.0,78728,2012,4
174900.0,78728,2012,5
179900.0,78728,2012,6
179450.0,78728,2012,7
183445.0,78728,2012,8
180000.0,78728,2012,9
179950.0,78728,2012,10
190445.0,78728,2012,11
