Median Listing Price Per sqf,Zip Code,Year,Month
112.34547383904,78726,2010,7
112.38173199713,78726,2010,8
110.83499005964,78726,2010,9
112.38173199713,78726,2010,10
111.99856835402,78726,2010,11
110.64278187566,78726,2010,12
109.66498484156,78726,2011,1
109.45595854922,78726,2011,2
109.24730280839,78726,2011,3
108.80635528075,78726,2011,4
107.07084382579,78726,2011,5
105.80819450698,78726,2011,6
105.80819450698,78726,2011,7
109.05897661245,78726,2011,8
112.52978583268,78726,2011,9
111.64937026361,78726,2011,10
117.03158016198,78726,2011,11
117.37089201878,78726,2011,12
113.22237632917,78726,2012,1
112.63253868987,78726,2012,2
114.39114391144,78726,2012,3
115.24423775041,78726,2012,4
118.34319526627,78726,2012,5
121.42634693242,78726,2012,6
117.14150035942,78726,2012,7
131.23334843679,78726,2012,8
132.18094365552,78726,2012,9
135.29278792072,78726,2012,10
133.80872483222,78726,2012,11
132.81301893059,78726,2012,12
141.20580473368,78726,2013,1
141.55805870735,78726,2013,2
139.41870629371,78726,2013,3
142.3478473134,78726,2013,4
135.72343149808,78726,2013,5
135.14836782781,78726,2013,6
136.95090439277,78726,2013,7
135.88696989284,78726,2013,8
150.56231061733,78726,2013,9
158.26182680605,78726,2013,10
162.70692818303,78726,2013,11
168.114042513,78726,2013,12
157.58886918611,78726,2014,1
159.42208232391,78726,2014,2
159.72540045767,78726,2014,3
155.37432036805,78726,2014,4
159.81770262232,78726,2014,5
155.98290598291,78726,2014,6
156.75477239354,78726,2014,7
156.74478318827,78726,2014,8
155.12400561535,78726,2014,9
157.99423310768,78726,2014,10
158.03939532753,78726,2014,11
164.90761271249,78726,2014,12
168.60454624279,78726,2015,1
169.26042207863,78726,2015,2
165.11497241607,78726,2015,3
158.07774609681,78726,2015,4
156.54514309343,78726,2015,5
155.78309243107,78726,2015,6
158.28974535444,78726,2015,7
161.33189438367,78726,2015,8
162.11494051486,78726,2015,9
158.97797660014,78726,2015,10
158.97797660014,78726,2015,11
167.02723735409,78726,2015,12
165.78977367241,78726,2016,1
165.06428985719,78726,2016,2
165.78977367241,78726,2016,3
162.5547418412,78726,2016,4
161.27989657401,78726,2016,5
162.60531873009,78726,2016,6
161.98189937684,78726,2016,7
163.10828714631,78726,2016,8
162.2114256687,78726,2016,9
163.22657820553,78726,2016,10
169.22500935979,78726,2016,11
169.22500935979,78726,2016,12
190.19798136646,78726,2017,1
182.51958136394,78726,2017,2
170.28891763691,78726,2017,3
166.5608885363,78726,2017,4
171.23831011979,78726,2017,5
173.28636495084,78726,2017,6
172.72068279562,78726,2017,7
174.57284358234,78726,2017,8
174.57284358234,78726,2017,9
174.60969597371,78726,2017,10
177.16262975778,78726,2017,11
174.93009995209,78726,2017,12
177.56382965484,78726,2018,1
177.16262975778,78726,2018,2
177.27792603889,78726,2018,3
178.93933613125,78726,2018,4
111.08329666767,78727,2010,1
110.68689241938,78727,2010,2
110.47275114905,78727,2010,3
112.49220567427,78727,2010,4
111.59748539717,78727,2010,5
110.31576877666,78727,2010,6
109.54750264108,78727,2010,7
110.69639514232,78727,2010,8
110.95262096774,78727,2010,9
110.06922592826,78727,2010,10
108.07304180682,78727,2010,11
108.67242942717,78727,2010,12
107.2250345145,78727,2011,1
107.56972111554,78727,2011,2
108.32258064516,78727,2011,3
107.598301523,78727,2011,4
106.83760683761,78727,2011,5
106.62824518712,78727,2011,6
107.45466756212,78727,2011,7
106.49973361748,78727,2011,8
105.74193548387,78727,2011,9
106.70706159512,78727,2011,10
105.74193548387,78727,2011,11
105.17501551069,78727,2011,12
105.42661358468,78727,2012,1
105.19262981574,78727,2012,2
107.08722741433,78727,2012,3
107.24184175235,78727,2012,4
107.24184175235,78727,2012,5
107.72521808089,78727,2012,6
110.16533986528,78727,2012,7
106.63265306122,78727,2012,8
106.15384615385,78727,2012,9
110.22275744074,78727,2012,10
111.70976572525,78727,2012,11
111.37919808448,78727,2012,12
118.59640080961,78727,2013,1
118.59640080961,78727,2013,2
118.24294432719,78727,2013,3
122.92009499349,78727,2013,4
126.15235322659,78727,2013,5
129.86513486513,78727,2013,6
129.32485599333,78727,2013,7
129.3314162473,78727,2013,8
131.55063291139,78727,2013,9
136.6835443038,78727,2013,10
136.07142857143,78727,2013,11
137.42766726944,78727,2013,12
143.75678119349,78727,2014,1
143.75678119349,78727,2014,2
143.75678119349,78727,2014,3
143.75678119349,78727,2014,4
148.17527519052,78727,2014,5
148.27757685353,78727,2014,6
147.79894875164,78727,2014,7
148.27757685353,78727,2014,8
132.81573807599,78727,2014,9
132.1935483871,78727,2014,10
133.60029122679,78727,2014,11
132.89691980694,78727,2014,12
137.74104683196,78727,2015,1
137.85507087735,78727,2015,2
139.37376492653,78727,2015,3
137.73648860712,78727,2015,4
134.91935483871,78727,2015,5
139.3005334914,78727,2015,6
147.83927217589,78727,2015,7
149.52908587258,78727,2015,8
149.98385193238,78727,2015,9
150.24673816895,78727,2015,10
151.17518387653,78727,2015,11
152.79837251356,78727,2015,12
152.77803119804,78727,2016,1
141.10944671086,78727,2016,2
144.73684210526,78727,2016,3
145.22821576763,78727,2016,4
148.97383533824,78727,2016,5
166.71144178043,78727,2016,6
169.63136337039,78727,2016,7
169.85753424657,78727,2016,8
167.64065427898,78727,2016,9
169.76744186046,78727,2016,10
