Median Price of Reduction,Zip Code,Year,Month
2.4600825676946,78737,2011,5
3.3333333333333,78737,2011,6
2.6632678849163,78737,2011,7
3.3666666666667,78737,2011,8
3.5087719298246,78737,2011,9
2.9072905929163,78737,2011,10
2.5696073605035,78737,2011,11
4.0925836847985,78737,2011,12
2.667377967458,78737,2012,1
3.1155845519729,78737,2012,2
2.5062656641604,78737,2012,3
2.280701754386,78737,2012,4
1.5473887814313,78737,2012,5
2.9947683109118,78737,2012,6
3.0236164771181,78737,2012,7
2.7027027027027,78737,2012,8
1.537330119135,78737,2012,9
2.0520547765664,78737,2012,10
1.5878056525881,78737,2012,11
1.7211703958692,78737,2012,12
0.9090909090909,78737,2013,1
2.8416779431664,78737,2013,2
3.3204685035406,78737,2013,3
2.1729036617737,78737,2013,4
2.2732439190725,78737,2013,5
1.2462006079027,78737,2013,6
2.4282940496965,78737,2013,7
1.8356905963717,78737,2013,8
1.9091521330206,78737,2013,9
3.3333333333333,78737,2013,10
2.0180403608072,78737,2013,11
1.5155342258146,78737,2013,12
1.8719528609458,78737,2014,1
2.6536558751981,78737,2014,2
3.7349397590362,78737,2014,3
2.66774648077,78737,2014,4
2.2642358393821,78737,2014,5
2.5,78737,2014,6
2.7535426507363,78737,2014,7
2.1929824561404,78737,2014,8
2.2990004345937,78737,2014,9
2.6737967914438,78737,2014,10
2.195652173913,78737,2014,11
1.7756068618692,78737,2014,12
2.6760791950665,78737,2015,1
2.7269804753773,78737,2015,2
2.5698898939362,78737,2015,3
2.922414059123,78737,2015,4
1.7138176875742,78737,2015,5
1.7337898798848,78737,2015,6
2.5035067571821,78737,2015,7
2.0747691711685,78737,2015,8
1.5829240649792,78737,2015,9
2.127516360301,78737,2015,10
1.7641397505253,78737,2015,11
0.89857238701256,78737,2015,12
1.7536852473593,78737,2016,1
1.7860332202179,78737,2016,2
2.0999640271777,78737,2016,3
2.4950064776878,78737,2016,4
2.1333333333333,78737,2016,5
1.7381866075689,78737,2016,6
1.6836209755365,78737,2016,7
1.9621591894579,78737,2016,8
1.7960650601299,78737,2016,9
2.218782249742,78737,2016,10
1.9083969465649,78737,2016,11
2.264296230176,78737,2016,12
0.78158423523046,78737,2017,1
1.5788993837489,78737,2017,2
1.8333333333333,78737,2017,3
1.9539488591797,78737,2017,4
1.8873165524927,78737,2017,5
1.8867924528302,78737,2017,6
1.8250612886813,78737,2017,7
2.4390243902439,78737,2017,8
1.0417165822529,78737,2017,9
1.7096939647803,78737,2017,10
1.5995109775355,78737,2017,11
1.5904572564612,78737,2017,12
2.2727272727273,78737,2018,1
1.6396272005523,78737,2018,2
1.948801454903,78737,2018,3
3.2527564440699,78737,2018,4
3.9905354839198,78738,2010,9
3.4324844013656,78738,2010,10
2.5761689291101,78738,2010,11
5.2029953851816,78738,2010,12
2.7964913552099,78738,2011,1
3.8461538461538,78738,2011,2
3.4827586206896,78738,2011,3
2.3248218028115,78738,2011,4
3.04,78738,2011,5
3.338898163606,78738,2011,6
3.0612244897959,78738,2011,7
2.9705882352941,78738,2011,8
3.0965391621129,78738,2011,9
3.4640710892166,78738,2011,10
2.0393397550698,78738,2011,11
2.8832694971885,78738,2011,12
2.6364857179387,78738,2012,1
2.1786492374728,78738,2012,2
2.4396194193706,78738,2012,3
2.6315789473684,78738,2012,4
2.574358974359,78738,2012,5
2.2222271605048,78738,2012,6
2.8180229355134,78738,2012,7
2.7697961861088,78738,2012,8
3.5740133679595,78738,2012,9
2.8169939857178,78738,2012,10
2.5348542458809,78738,2012,11
1.1878294671197,78738,2012,12
2.2932339371349,78738,2013,1
2.1658045028189,78738,2013,2
2.1653622021989,78738,2013,3
2.6385224274406,78738,2013,4
2.3464549665184,78738,2013,5
2.666670222227,78738,2013,6
2.1872010205166,78738,2013,7
1.9109059222796,78738,2013,8
2.0339360712849,78738,2013,9
2.1351575084625,78738,2013,10
1.5875535799333,78738,2013,11
2.8571428571429,78738,2013,12
1.7546938059309,78738,2014,1
1.0087194392204,78738,2014,2
1.8878610534265,78738,2014,3
1.7860332202179,78738,2014,4
2.9268292682927,78738,2014,5
2.088772845953,78738,2014,6
2.5661358252172,78738,2014,7
2.3488372093023,78738,2014,8
2.6666666666667,78738,2014,9
1.9162518237463,78738,2014,10
1.7560324253013,78738,2014,11
2.002002002002,78738,2014,12
1.6669444907485,78738,2015,1
2.5424159731521,78738,2015,2
2.0056922370357,78738,2015,3
2.1120862077435,78738,2015,4
2.3063615521654,78738,2015,5
2.528577603731,78738,2015,6
1.9417532849578,78738,2015,7
2.1281123643328,78738,2015,8
2.5647601949218,78738,2015,9
2.3437545776457,78738,2015,10
2.3262197533277,78738,2015,11
1.2062726176116,78738,2015,12
1.8236472945892,78738,2016,1
1.7967479391712,78738,2016,2
2.4390243902439,78738,2016,3
2.5214019325309,78738,2016,4
2.5003125390674,78738,2016,5
2.1898129899707,78738,2016,6
1.6722408026756,78738,2016,7
2.1571428571429,78738,2016,8
2.002002002002,78738,2016,9
1.9025048520969,78738,2016,10
2.1094993841392,78738,2016,11
2.0348837209302,78738,2016,12
1.8288269267091,78738,2017,1
2.0668767172698,78738,2017,2
2.1864211737629,78738,2017,3
2.2246941045606,78738,2017,4
2.1182053494392,78738,2017,5
1.9835997205118,78738,2017,6
1.9234468166955,78738,2017,7
1.8032786885246,78738,2017,8
1.8214936247723,78738,2017,9
1.8959552116752,78738,2017,10
1.9501276914594,78738,2017,11
1.3936335403727,78738,2017,12
2.094298245614,78738,2018,1
1.4528199488377,78738,2018,2
1.2690355329949,78738,2018,3
1.4306151645207,78738,2018,4
2.2266666666667,78739,2010,9
2.4274213222737,78739,2010,10
2.6187926678038,78739,2010,11
1.669019179765,78739,2010,12
2.4721377912867,78739,2011,1
2.1130198915009,78739,2011,2
1.6655733234628,78739,2011,3
1.9255174180155,78739,2011,4
2.1333333333333,78739,2011,5
2.5641025641026,78739,2011,6
1.8191790560002,78739,2011,7
2.1866924496792,78739,2011,8
1.744791767277,78739,2011,9
1.8461538461538,78739,2011,10
2.0598122802166,78739,2011,11
1.3157894736842,78739,2011,12
2.6708064864327,78739,2012,1
1.6564563570135,78739,2012,2
2.5775110964984,78739,2012,3
1.4492753623188,78739,2012,4
2.1194800162055,78739,2012,5
1.3246823465802,78739,2012,6
1.9178082191781,78739,2012,7
1.5151515151515,78739,2012,8
1.6764313613413,78739,2012,9
2.667377967458,78739,2012,10
1.5875535799333,78739,2012,11
1.3447173970803,78739,2012,12
1.73943294486,78739,2013,1
1.1888111888112,78739,2013,2
1.7754696830673,78739,2013,3
2.2550913184681,78739,2013,4
2.2029103648388,78739,2013,5
1.6247139588101,78739,2013,6
2.2271714922049,78739,2013,7
2.2988505747126,78739,2013,8
2.0747691711685,78739,2013,9
1.5885623510723,78739,2013,10
1.7829337580678,78739,2013,11
0.65224168946252,78739,2013,12
1.1494252873563,78739,2014,1
3.4314044742584,78739,2014,2
1.2389380530973,78739,2014,3
1.8374228764325,78739,2014,4
1.7966602169991,78739,2014,5
2.4977840405464,78739,2014,6
2.2420113459049,78739,2014,7
1.7857142857143,78739,2014,8
1.3333333333333,78739,2014,9
1.6949152542373,78739,2014,10
3.0612557270993,78739,2014,11
2.5871455323703,78739,2014,12
2.3764705882353,78739,2015,1
1.134583980955,78739,2015,2
1.2534818941504,78739,2015,3
1.3201074023216,78739,2015,4
1.2825088472254,78739,2015,5
1.5480943838189,78739,2015,6
2.1739130434783,78739,2015,7
2.2753128555176,78739,2015,8
2.107671123351,78739,2015,9
2.0044579144016,78739,2015,10
1.2631578947368,78739,2015,11
2.1321961620469,78739,2015,12
1.0918149756878,78739,2016,1
2.4122870448038,78739,2016,2
2.3610659909287,78739,2016,3
2.1762785636562,78739,2016,4
1.512534801268,78739,2016,5
2.2921441967077,78739,2016,6
2.5592885375494,78739,2016,7
2.1729780271155,78739,2016,8
1.6669444907485,78739,2016,9
3.0286802043552,78739,2016,10
1.788908765653,78739,2016,11
2.1336059986367,78739,2016,12
1.210955016347,78739,2017,1
2.1187296599708,78739,2017,2
1.7331856768459,78739,2017,3
2.1348046396059,78739,2017,4
1.6217928909386,78739,2017,5
2.111369795046,78739,2017,6
1.8273493000309,78739,2017,7
1.8416861132719,78739,2017,8
1.8214936247723,78739,2017,9
2.0164295776231,78739,2017,10
1.333688983729,78739,2017,11
1.2809479430169,78739,2017,12
1.5606622741918,78739,2018,1
1.4295925661186,78739,2018,2
2.1857923497268,78739,2018,3
2.3715785526809,78739,2018,4
3.0769230769231,78745,2010,9
2.3820867079562,78745,2010,10
2.5974025974026,78745,2010,11
4.5845272206304,78745,2010,12
3.1269543464665,78745,2011,1
3.8354641467482,78745,2011,2
3.0321406913281,78745,2011,3
2.4702562538133,78745,2011,4
2.3823704586063,78745,2011,5
3.3355570380254,78745,2011,6
2.7522860617782,78745,2011,7
2.77893572129,78745,2011,8
2.8678286293514,78745,2011,9
2.7874686288374,78745,2011,10
3.1093801864629,78745,2011,11
3.2817229993225,78745,2011,12
3.6144578313253,78745,2012,1
2.5479714496413,78745,2012,2
2.9787234042553,78745,2012,3
2.3809523809524,78745,2012,4
2.2727272727273,78745,2012,5
2.3476073115358,78745,2012,6
2.8424686652496,78745,2012,7
2.6153846153846,78745,2012,8
3.1665611146295,78745,2012,9
2.4726719921593,78745,2012,10
2.3344449737971,78745,2012,11
2.5806263565387,78745,2012,12
2.1429594613952,78745,2013,1
2.3650385604113,78745,2013,2
1.7948676682412,78745,2013,3
2.4089635854342,78745,2013,4
3.4398034398034,78745,2013,5
2.3543751362024,78745,2013,6
2.57227359111,78745,2013,7
2.9764585773053,78745,2013,8
3.7573352573352,78745,2013,9
3.0433364596774,78745,2013,10
3.4146341463415,78745,2013,11
2.5396825396825,78745,2013,12
2.5192976921636,78745,2014,1
2.9996837444655,78745,2014,2
3.4808946877912,78745,2014,3
3.3344448149383,78745,2014,4
3.1764716075169,78745,2014,5
1.8528178342725,78745,2014,6
2.1116135211091,78745,2014,7
2.5818181818182,78745,2014,8
3.8476337052713,78745,2014,9
3.1875901875902,78745,2014,10
3.2576066563341,78745,2014,11
1.980198019802,78745,2014,12
4.3817527010804,78745,2015,1
2.6845637583893,78745,2015,2
3.5727045373348,78745,2015,3
1.9677996422182,78745,2015,4
3.5598705501618,78745,2015,5
2.1818181818182,78745,2015,6
3.2209131075111,78745,2015,7
2.4512256128064,78745,2015,8
2.0816326530612,78745,2015,9
2.7626459143969,78745,2015,10
3.5087719298246,78745,2015,11
2.6465028355388,78745,2015,12
3.1026938329003,78745,2016,1
2.9810298102981,78745,2016,2
1.8545454545455,78745,2016,3
1.8518518518519,78745,2016,4
2.4027377521614,78745,2016,5
2.9345372460497,78745,2016,6
2.8276877761414,78745,2016,7
2.000400160064,78745,2016,8
2.4695217255392,78745,2016,9
2.2435897435897,78745,2016,10
2.625,78745,2016,11
1.6967232241075,78745,2016,12
1.8525379770285,78745,2017,1
1.9996007452755,78745,2017,2
1.4695340501792,78745,2017,3
1.7712045616536,78745,2017,4
1.9419306184012,78745,2017,5
1.8293161740648,78745,2017,6
2.5454545454545,78745,2017,7
1.8041584499627,78745,2017,8
2.5050880832965,78745,2017,9
2.0416496529196,78745,2017,10
2.358240165018,78745,2017,11
1.7804666231955,78745,2017,12
2.5046497689147,78745,2018,1
2.6362790697674,78745,2018,2
2.5864661654135,78745,2018,3
2.3764705882353,78745,2018,4
2.7676399026764,78746,2010,9
3.6363636363636,78746,2010,10
4.08,78746,2010,11
3.8663960146494,78746,2010,12
3.1067961165048,78746,2011,1
2.5644781742343,78746,2011,2
4.2918454935622,78746,2011,3
3.2626891715995,78746,2011,4
3.2704402515723,78746,2011,5
3.0886644219978,78746,2011,6
2.7382227607471,78746,2011,7
2.7704281985562,78746,2011,8
2.500001562501,78746,2011,9
3.8475767665557,78746,2011,10
2.8571428571429,78746,2011,11
5.7901991541875,78746,2011,12
4.9209621993127,78746,2012,1
4.3061472915399,78746,2012,2
3.203320717761,78746,2012,3
3.894472361809,78746,2012,4
3.8062283737024,78746,2012,5
3.2688458972648,78746,2012,6
2.9478162715985,78746,2012,7
3.187134502924,78746,2012,8
2.9680365296804,78746,2012,9
2.9176171369272,78746,2012,10
3.779830638953,78746,2012,11
6.3020464896931,78746,2012,12
3.3783783783784,78746,2013,1
3.2171232616788,78746,2013,2
5.8234758871702,78746,2013,3
