Median Price Cut,Zip Code,Year,Month
5050.0,78745,2012,7
5800.0,78745,2012,8
5000.0,78745,2012,9
5000.0,78745,2012,10
5000.0,78745,2012,11
5000.0,78745,2012,12
4500.0,78745,2013,1
5400.0,78745,2013,2
3700.0,78745,2013,3
4800.0,78745,2013,4
7500.0,78745,2013,5
4950.0,78745,2013,6
6000.0,78745,2013,7
6000.0,78745,2013,8
7950.0,78745,2013,9
5495.0,78745,2013,10
8500.0,78745,2013,11
5000.0,78745,2013,12
5300.0,78745,2014,1
8000.0,78745,2014,2
9550.0,78745,2014,3
10000.0,78745,2014,4
7500.0,78745,2014,5
5000.0,78745,2014,6
6250.0,78745,2014,7
5100.0,78745,2014,8
10000.0,78745,2014,9
10000.0,78745,2014,10
10000.0,78745,2014,11
5100.0,78745,2014,12
15000.0,78745,2015,1
8000.0,78745,2015,2
10000.0,78745,2015,3
5000.0,78745,2015,4
10000.0,78745,2015,5
6000.0,78745,2015,6
10000.0,78745,2015,7
6500.0,78745,2015,8
5780.0,78745,2015,9
7600.0,78745,2015,10
10000.0,78745,2015,11
10000.0,78745,2015,12
9948.5,78745,2016,1
10000.0,78745,2016,2
6000.0,78745,2016,3
6500.0,78745,2016,4
9000.0,78745,2016,5
10000.0,78745,2016,6
9100.0,78745,2016,7
5100.0,78745,2016,8
7000.0,78745,2016,9
6500.0,78745,2016,10
9000.0,78745,2016,11
5090.0,78745,2016,12
5010.0,78745,2017,1
5500.0,78745,2017,2
4686.0,78745,2017,3
5000.0,78745,2017,4
5700.0,78745,2017,5
6000.0,78745,2017,6
9999.0,78745,2017,7
5100.0,78745,2017,8
8250.0,78745,2017,9
8000.0,78745,2017,10
10000.0,78745,2017,11
5100.0,78745,2017,12
9000.5,78745,2018,1
9000.0,78745,2018,2
9950.0,78745,2018,3
9500.0,78745,2018,4
24000.0,78746,2010,9
29600.0,78746,2010,10
24000.0,78746,2010,11
26000.0,78746,2010,12
20000.0,78746,2011,1
22500.0,78746,2011,2
30000.0,78746,2011,3
22950.0,78746,2011,4
25000.0,78746,2011,5
20000.0,78746,2011,6
20000.0,78746,2011,7
20524.5,78746,2011,8
20900.0,78746,2011,9
25000.0,78746,2011,10
25000.0,78746,2011,11
100450.0,78746,2011,12
40000.0,78746,2012,1
38000.0,78746,2012,2
21500.0,78746,2012,3
40900.0,78746,2012,4
39000.0,78746,2012,5
25100.0,78746,2012,6
24500.0,78746,2012,7
19500.0,78746,2012,8
20000.0,78746,2012,9
19050.0,78746,2012,10
26000.0,78746,2012,11
64500.0,78746,2012,12
25999.0,78746,2013,1
35749.5,78746,2013,2
54000.0,78746,2013,3
24000.0,78746,2013,4
49999.0,78746,2013,5
50000.0,78746,2013,6
25300.0,78746,2013,7
30000.0,78746,2013,8
26000.0,78746,2013,9
50000.0,78746,2013,10
26000.0,78746,2013,11
45000.0,78746,2013,12
24900.0,78746,2014,1
15500.5,78746,2014,2
27750.0,78746,2014,3
57000.0,78746,2014,4
40000.0,78746,2014,5
75000.0,78746,2014,6
49900.0,78746,2014,7
30950.0,78746,2014,8
26000.0,78746,2014,9
68000.0,78746,2014,10
43750.0,78746,2014,11
25000.0,78746,2014,12
30000.0,78746,2015,1
35000.0,78746,2015,2
40000.0,78746,2015,3
45000.0,78746,2015,4
50000.0,78746,2015,5
50000.0,78746,2015,6
46000.0,78746,2015,7
49550.0,78746,2015,8
48000.0,78746,2015,9
30000.0,78746,2015,10
29900.0,78746,2015,11
46000.0,78746,2015,12
45550.0,78746,2016,1
50000.0,78746,2016,2
47250.0,78746,2016,3
50000.5,78746,2016,4
50000.0,78746,2016,5
50000.0,78746,2016,6
45000.0,78746,2016,7
49500.0,78746,2016,8
51250.0,78746,2016,9
50000.5,78746,2016,10
50000.0,78746,2016,11
25000.0,78746,2016,12
41000.0,78746,2017,1
37300.0,78746,2017,2
50000.0,78746,2017,3
48750.0,78746,2017,4
30000.0,78746,2017,5
30900.0,78746,2017,6
30000.0,78746,2017,7
27500.0,78746,2017,8
33000.0,78746,2017,9
50000.0,78746,2017,10
50000.0,78746,2017,11
49000.0,78746,2017,12
44500.0,78746,2018,1
50000.0,78746,2018,2
53000.0,78746,2018,3
51000.0,78746,2018,4
9500.0,78747,2010,9
5000.0,78747,2010,10
9750.0,78747,2010,11
9500.0,78747,2010,12
10000.0,78747,2011,1
6000.0,78747,2011,2
8500.0,78747,2011,3
5750.0,78747,2011,4
9944.5,78747,2011,5
10000.0,78747,2011,6
10000.0,78747,2011,7
7200.0,78747,2011,8
6375.0,78747,2011,9
5097.5,78747,2011,10
11500.0,78747,2011,11
7500.0,78747,2011,12
13700.0,78747,2012,1
10000.0,78747,2012,2
5000.0,78747,2012,3
7375.0,78747,2012,4
5900.0,78747,2012,5
10000.0,78747,2012,6
8000.0,78747,2012,7
6141.5,78747,2012,8
9190.0,78747,2012,9
7500.0,78747,2012,10
9000.0,78747,2012,11
9100.0,78747,2012,12
7000.0,78747,2013,1
6000.0,78747,2013,2
6550.0,78747,2013,3
4000.0,78747,2013,4
10301.5,78747,2013,5
5000.0,78747,2013,6
2500.0,78747,2013,7
5250.0,78747,2013,8
7540.0,78747,2013,9
5000.0,78747,2013,10
4550.0,78747,2013,11
700.0,78747,2013,12
